year	dead	missing	deadmissing	survivors	lat	lon	route
2018	1		1	300	25.795434900000	 -99.176062000000	
2018	15		15		42.691830000000	 11.668239000000	
2018	1		1		34.434549000000	 18.074280000000	
2018	5		5	53	35.613574869223	 -3.107125232813	Western Mediterranean
2018		6	6	52	35.613805720401	 -3.880978481250	Western Mediterranean
2018	1		1		32.057701900000	 -112.143021500000	Central America to US
2018		5	5	30	35.876619034558	 -3.354317615625	Western Mediterranean
2018	1		1		27.622868783483	 -99.356489888281	Central America to US
2018		61	61		35.752123340697	 -4.375363246875	Western Mediterranean
2018	1		1		26.883280977966	 -97.855127623242	Central America to US
2018	3		3		-5.283333000000	 6.816667000000	
2018	1		1	47	16.704349118212	 98.542564222510	
2018	2	128	130	55	32.724921395263	 14.348923069922	Central Mediterranean
2018	1		1		26.052069129751	 -97.850512008569	Central America to US
2018	1		1		28.698480107631	 -100.510242529640	Central America to US
2018	33		33	326	13.928812408127	 48.993845334375	Horn Africa to Yemen
2018	1		1		28.004407539922	 -99.567097186816	Central America to US
2018	1		1		32.057701900000	 -112.143021500000	Central America to US
2018	13	39	52		35.173443204721	 -2.208013621094	Western Mediterranean
2018	1		1		41.838791000000	 11.719698000000	
2018	1		1		23.823002000000	 21.143170000000	
2018	1		1		27.209042291842	 -98.672858435937	Central America to US
2018	2		2		31.661041531089	 -106.256308555600	Central America to US
2018	1		1		29.226621585441	 -100.363238881250	Central America to US
2018	1		1		27.103538000000	 19.635357000000	
2018	2		2		42.787821000000	 9.322813000000	
2018	1		1		27.230363790235	 -98.193377309015	Central America to US
2018	1		1		32.057701900000	 -112.143021500000	Central America to US
2018	1		1		42.377063000000	 11.102066000000	
2018	1		1		18.013663192839	 -94.670495381476	
2018	1		1		27.777139204350	 -98.712549980078	Central America to US
2018	1		1		26.693147000000	 22.396611000000	
2018	2		2		36.143562500000	 36.385937500000	
2018	2		2	5	25.476931063531	 -102.172678989800	
2018	1		1		32.899446000000	 -116.358295000000	Central America to US
2018	2		2		14.257533000000	 25.562181000000	
2018	1		1		14.411008000000	 27.004996000000	
2018	1	1	2		35.948636914561	 -3.036400745508	Western Mediterranean
2018	1		1		26.202446800000	 -98.447132200000	Central America to US
2018	1		1		26.263280364681	 -98.649906351343	Central America to US
2018	2		2		13.574271000000	 24.312078000000	
2018	1		1		27.429079596371	 -99.493085820933	Central America to US
2018	1		1		16.907131000000	 23.364317000000	
2018	4		4		20.297225000000	 31.986596000000	
2018	2		2		49.121736000000	 11.275784000000	
2018	2		2		27.103538000000	 19.635357000000	
2018	1		1		-16.500000000000	 16.033333000000	
2018	2		2	100	34.880925997214	 14.210621078125	Central Mediterranean
2018	2		2		23.752598000000	 21.424415000000	
2018	1		1		34.434549000000	 18.074280000000	
2018	1		1		26.869714700000	 -97.698227200000	Central America to US
2018	1		1		26.130072391335	 -97.914126184131	Central America to US
2018	1		1		32.057701900000	 -112.143021500000	Central America to US
2018	1		1		14.483935000000	 23.939648000000	
2018	2		2		-1.616667000000	 6.666667000000	
2018	9	0	9	1	33.715692455135	 10.733058079687	Central Mediterranean
2018	1		1		15.464037000000	 24.270603000000	
2018	1		1		44.059039000000	 9.511606000000	
2018	1		1		-4.033333000000	 5.316667000000	
2018	1		1		-0.050000000000	 16.266667000000	
2018	2		2		26.230763988792	 -98.471871184867	Central America to US
2018	1		1		28.411651400000	 -99.812493500000	Central America to US
2018	2		2		39.065407000000	 3.536064000000	
2018	1		1		-1.616667000000	 6.666667000000	
2018	1		1		51.178462900000	 3.123883400000	
2018	1		1		28.030813818040	 -99.431382996875	Central America to US
2018	1		1		28.718945659620	 -100.507989046310	Central America to US
2018	1		1		31.915967400000	 -111.964844100000	Central America to US
2018	8		8	14	34.968617654974	 11.217615369531	Central Mediterranean
2018	1		1		28.670797351226	 -97.046597961963	Central America to US
2018	1		1		26.093725796304	 -98.268904886816	Central America to US
2018	1		1		26.132538237162	 -97.912924554492	Central America to US
2018	1		1		44.511301000000	 3.979193000000	
2018	2		2		34.434549000000	 18.074280000000	
2018	1		1		-17.446667000000	 14.692778000000	
2018	1		1		28.698921580669	 -100.511122346290	Central America to US
2018	4		4		15.547833000000	 23.930733000000	
2018	1		1		28.712224010642	 -100.508598909650	Central America to US
2018	3		3		18.145195500000	 -94.424236600000	
2018		3	3	24	18.341129048472	 -67.345046302832	
2018	1		1		31.583904100000	 -111.754932400000	Central America to US
2018	1		1		23.127265000000	 22.187641000000	
2018	1		1		27.103538000000	 19.635357000000	
2018	4		4	19	-0.229794930466	 -78.342864800525	
2018	1		1		14.589111000000	 24.854362000000	
2018	1		1		47.417650000000	 6.770377000000	
2018	2		2	10	45.158921100000	 15.018244300000	Western Balkans
2018	1		1		28.741047300000	 -100.349789500000	Central America to US
2018	1		1		14.584318000000	 24.831455000000	
