type	lat	lon	name	desc
T	6.269080000	-10.728590000		
T	6.269060000	-10.728310000		
T	6.269030000	-10.728030000		
T	6.268990000	-10.727750000		
T	6.268880000	-10.727140000		
T	6.268870000	-10.727110000		
T	6.268810000	-10.726840000		
T	6.268780000	-10.726720000		
T	6.268750000	-10.726570000		
T	6.268720000	-10.726470000		
T	6.268660000	-10.726240000		
T	6.268610000	-10.726050000		
T	6.268490000	-10.725690000		
T	6.268460000	-10.725570000		
T	6.268390000	-10.725390000		
T	6.268370000	-10.725330000		
T	6.268250000	-10.725010000		
T	6.268110000	-10.724690000		
T	6.268050000	-10.724560000		
T	6.267930000	-10.724310000		
T	6.267860000	-10.724150000		
T	6.267590000	-10.723620000		
T	6.267590000	-10.723610000		
T	6.267290000	-10.723000000		
T	6.267050000	-10.722530000		
T	6.266120000	-10.720620000		
T	6.265870000	-10.720120000		
T	6.265680000	-10.719730000		
T	6.265490000	-10.719340000		
T	6.265190000	-10.718720000		
T	6.265030000	-10.718410000		
T	6.264900000	-10.718100000		
T	6.264820000	-10.717900000		
T	6.264740000	-10.717700000		
T	6.264650000	-10.717410000		
T	6.264580000	-10.717140000		
T	6.264530000	-10.716930000		
T	6.264490000	-10.716720000		
T	6.264430000	-10.716390000		
T	6.264410000	-10.716190000		
T	6.264400000	-10.716000000		
T	6.264390000	-10.715910000		
T	6.264380000	-10.715830000		
T	6.264380000	-10.715740000		
T	6.264380000	-10.715650000		
T	6.264380000	-10.715430000		
T	6.264390000	-10.715210000		
T	6.264390000	-10.714880000		
T	6.264400000	-10.714780000		
T	6.264400000	-10.714470000		
T	6.264420000	-10.714030000		
T	6.264420000	-10.713920000		
T	6.264430000	-10.713880000		
T	6.264440000	-10.713430000		
T	6.264440000	-10.713200000		
T	6.264450000	-10.713010000		
T	6.264470000	-10.712580000		
T	6.264500000	-10.711810000		
T	6.264540000	-10.710610000		
T	6.264560000	-10.709740000		
T	6.264560000	-10.709450000		
T	6.264590000	-10.708200000		
T	6.264600000	-10.707770000		
T	6.264610000	-10.707350000		
T	6.264620000	-10.706770000		
T	6.264640000	-10.706300000		
T	6.264640000	-10.705720000		
T	6.264670000	-10.704580000		
T	6.264680000	-10.704170000		
T	6.264680000	-10.704170000		
T	6.264790000	-10.704140000		
T	6.264880000	-10.704100000		
T	6.264970000	-10.704030000		
T	6.265260000	-10.703810000		
T	6.265500000	-10.703580000		
T	6.265850000	-10.703370000		
T	6.265930000	-10.703340000		
T	6.266190000	-10.703240000		
T	6.266540000	-10.703120000		
T	6.267180000	-10.702930000		
T	6.267400000	-10.702860000		
T	6.267800000	-10.702730000		
T	6.268350000	-10.702580000		
T	6.268420000	-10.702560000		
T	6.268990000	-10.702380000		
T	6.269460000	-10.702230000		
T	6.270300000	-10.701960000		
T	6.270620000	-10.701830000		
T	6.270700000	-10.701760000		
T	6.270760000	-10.701710000		
T	6.270840000	-10.701570000		
T	6.270970000	-10.701280000		
T	6.271160000	-10.700760000		
T	6.271180000	-10.700680000		
T	6.271240000	-10.700520000		
T	6.271400000	-10.700040000		
T	6.271410000	-10.700010000		
T	6.271530000	-10.699670000		
T	6.271540000	-10.699620000		
T	6.271730000	-10.699060000		
T	6.271810000	-10.698800000		
T	6.271840000	-10.698560000		
T	6.272030000	-10.698010000		
T	6.272100000	-10.697780000		
T	6.272380000	-10.696950000		
T	6.272520000	-10.696740000		
T	6.272670000	-10.696570000		
T	6.272810000	-10.696430000		
T	6.272880000	-10.696360000		
T	6.272900000	-10.696340000		
T	6.273310000	-10.695990000		
T	6.273700000	-10.695650000		
T	6.274120000	-10.695220000		
T	6.274230000	-10.695100000		
T	6.274280000	-10.695050000		
T	6.274390000	-10.694870000		
T	6.274400000	-10.694850000		
T	6.274410000	-10.694800000		
T	6.274600000	-10.694120000		
T	6.274710000	-10.693690000		
T	6.274780000	-10.693020000		
T	6.274830000	-10.692570000		
T	6.274830000	-10.692550000		
T	6.274830000	-10.692550000		
T	6.276770000	-10.692370000		
T	6.278340000	-10.692210000		
T	6.279340000	-10.692100000		
T	6.279400000	-10.692100000		
T	6.280200000	-10.692020000		
T	6.280830000	-10.691960000		
T	6.280860000	-10.691960000		
T	6.281210000	-10.691930000		
T	6.281900000	-10.691860000		
T	6.281930000	-10.691860000		
T	6.282840000	-10.691780000		
T	6.283780000	-10.691690000		
T	6.283910000	-10.691680000		
T	6.284650000	-10.691610000		
T	6.285100000	-10.691560000		
T	6.285690000	-10.691510000		
T	6.285900000	-10.691490000		
T	6.286680000	-10.691420000		
T	6.287100000	-10.691390000		
T	6.287370000	-10.691360000		
T	6.288100000	-10.691300000		
T	6.288160000	-10.691290000		
T	6.289020000	-10.691210000		
T	6.289070000	-10.691200000		
T	6.289790000	-10.691140000		
T	6.290350000	-10.691080000		
T	6.290360000	-10.691080000		
T	6.291030000	-10.690970000		
T	6.291420000	-10.690860000		
T	6.291550000	-10.690830000		
T	6.292140000	-10.690570000		
T	6.292140000	-10.690570000		
T	6.292270000	-10.690510000		
T	6.292960000	-10.690030000		
T	6.293080000	-10.689930000		
T	6.293560000	-10.689510000		
T	6.293810000	-10.689260000		
T	6.293820000	-10.689250000		
T	6.294210000	-10.688760000		
T	6.294360000	-10.688460000		
T	6.294490000	-10.688210000		
T	6.294710000	-10.687750000		
T	6.294730000	-10.687710000		
T	6.294960000	-10.687230000		
T	6.295400000	-10.686280000		
T	6.295400000	-10.686270000		
T	6.295690000	-10.685730000		
T	6.295930000	-10.685230000		
T	6.295950000	-10.685170000		
T	6.296290000	-10.684460000		
T	6.296710000	-10.683560000		
T	6.296750000	-10.683450000		
T	6.297020000	-10.682880000		
T	6.297440000	-10.681980000		
T	6.297540000	-10.681790000		
T	6.298310000	-10.680340000		
T	6.299240000	-10.679260000		
T	6.299700000	-10.678830000		
T	6.299730000	-10.678800000		
T	6.300100000	-10.678470000		
T	6.300470000	-10.678120000		
T	6.300680000	-10.677940000		
T	6.301130000	-10.677530000		
T	6.301300000	-10.677380000		
T	6.301490000	-10.677210000		
T	6.301880000	-10.676880000		
T	6.302500000	-10.676350000		
T	6.302540000	-10.676310000		
T	6.303990000	-10.675090000		
T	6.304340000	-10.674810000		
T	6.305670000	-10.673750000		
T	6.306650000	-10.672970000		
T	6.307080000	-10.672620000		
T	6.307380000	-10.672380000		
T	6.307690000	-10.672110000		
T	6.307830000	-10.671990000		
T	6.308410000	-10.671480000		
T	6.309340000	-10.670660000		
T	6.309910000	-10.670160000		
T	6.309980000	-10.670090000		
T	6.310080000	-10.670010000		
T	6.312120000	-10.668350000		
T	6.312550000	-10.668000000		
T	6.313010000	-10.667640000		
T	6.313810000	-10.667150000		
T	6.314060000	-10.667000000		
T	6.314220000	-10.666910000		
T	6.314630000	-10.666680000		
T	6.314940000	-10.666520000		
T	6.315260000	-10.666370000		
T	6.315440000	-10.666290000		
T	6.315910000	-10.666090000		
T	6.315950000	-10.666070000		
T	6.316240000	-10.665950000		
T	6.316580000	-10.665830000		
T	6.316860000	-10.665720000		
T	6.317080000	-10.665640000		
T	6.317260000	-10.665580000		
T	6.317470000	-10.665500000		
T	6.317870000	-10.665360000		
T	6.318490000	-10.665140000		
T	6.319230000	-10.664870000		
T	6.321120000	-10.664190000		
T	6.321740000	-10.663960000		
T	6.322180000	-10.663810000		
T	6.322610000	-10.663650000		
T	6.323020000	-10.663490000		
T	6.323440000	-10.663320000		
T	6.324050000	-10.663040000		
T	6.324520000	-10.662790000		
T	6.324890000	-10.662590000		
T	6.324980000	-10.662530000		
T	6.325240000	-10.662370000		
T	6.325360000	-10.662300000		
T	6.325550000	-10.662190000		
T	6.325740000	-10.662070000		
T	6.326100000	-10.661800000		
T	6.326480000	-10.661550000		
T	6.327120000	-10.661090000		
T	6.327550000	-10.660790000		
T	6.327780000	-10.660640000		
T	6.328370000	-10.660220000		
T	6.328670000	-10.660010000		
T	6.328970000	-10.659790000		
T	6.329470000	-10.659440000		
T	6.329970000	-10.659080000		
T	6.330110000	-10.659000000		
T	6.330240000	-10.658920000		
T	6.330380000	-10.658850000		
T	6.330520000	-10.658780000		
T	6.330640000	-10.658720000		
T	6.330760000	-10.658680000		
T	6.330880000	-10.658630000		
T	6.331010000	-10.658590000		
T	6.331070000	-10.658570000		
T	6.331150000	-10.658550000		
T	6.331240000	-10.658530000		
T	6.331340000	-10.658500000		
T	6.331450000	-10.658480000		
T	6.331590000	-10.658450000		
T	6.331740000	-10.658440000		
T	6.331890000	-10.658420000		
T	6.332040000	-10.658420000		
T	6.332520000	-10.658420000		
T	6.333000000	-10.658440000		
T	6.333170000	-10.658440000		
T	6.333650000	-10.658460000		
T	6.333960000	-10.658460000		
T	6.334590000	-10.658480000		
T	6.334900000	-10.658500000		
T	6.335060000	-10.658500000		
T	6.335220000	-10.658510000		
T	6.335290000	-10.658520000		
T	6.335370000	-10.658530000		
T	6.335440000	-10.658540000		
T	6.335520000	-10.658560000		
T	6.335750000	-10.658620000		
T	6.335870000	-10.658650000		
T	6.335980000	-10.658700000		
T	6.336590000	-10.658980000		
T	6.337130000	-10.659260000		
T	6.337240000	-10.659310000		
T	6.337360000	-10.659360000		
T	6.337420000	-10.659390000		
T	6.337480000	-10.659410000		
T	6.337540000	-10.659430000		
T	6.337600000	-10.659450000		
T	6.337660000	-10.659470000		
T	6.337720000	-10.659490000		
T	6.337790000	-10.659500000		
T	6.337850000	-10.659510000		
T	6.337930000	-10.659530000		
T	6.338020000	-10.659540000		
T	6.338080000	-10.659540000		
T	6.338180000	-10.659540000		
T	6.338200000	-10.659540000		
T	6.338280000	-10.659530000		
T	6.338430000	-10.659520000		
T	6.338560000	-10.659480000		
T	6.338710000	-10.659440000		
T	6.338790000	-10.659420000		
T	6.338860000	-10.659380000		
T	6.339510000	-10.659090000		
T	6.340160000	-10.658790000		
T	6.340440000	-10.658660000		
T	6.342600000	-10.657610000		
T	6.342880000	-10.657470000		
T	6.343260000	-10.657290000		
T	6.343520000	-10.657160000		
T	6.343920000	-10.656970000		
T	6.345240000	-10.656430000		
T	6.345350000	-10.656360000		
T	6.346610000	-10.655840000		
T	6.347160000	-10.655610000		
T	6.347700000	-10.655250000		
T	6.348290000	-10.654810000		
T	6.348380000	-10.654710000		
T	6.349260000	-10.653670000		
T	6.349460000	-10.653450000		
T	6.349560000	-10.653340000		
T	6.350260000	-10.652520000		
T	6.350730000	-10.651940000		
T	6.351400000	-10.651050000		
T	6.352320000	-10.649900000		
T	6.353250000	-10.648770000		
T	6.353930000	-10.647920000		
T	6.354490000	-10.647230000		
T	6.355210000	-10.646330000		
T	6.355590000	-10.645860000		
T	6.355970000	-10.645400000		
T	6.356580000	-10.644680000		
T	6.357190000	-10.643950000		
T	6.358180000	-10.642740000		
T	6.358600000	-10.642250000		
T	6.359190000	-10.641550000		
T	6.359790000	-10.640820000		
T	6.361300000	-10.639000000		
T	6.361730000	-10.638480000		
T	6.362640000	-10.637400000		
T	6.362980000	-10.636980000		
T	6.363330000	-10.636590000		
T	6.363680000	-10.636200000		
T	6.363790000	-10.636090000		
T	6.364000000	-10.635870000		
T	6.364060000	-10.635810000		
T	6.364130000	-10.635750000		
T	6.364190000	-10.635690000		
T	6.364250000	-10.635630000		
T	6.364490000	-10.635400000		
T	6.364660000	-10.635250000		
T	6.364840000	-10.635100000		
T	6.365180000	-10.634790000		
T	6.365460000	-10.634540000		
T	6.365770000	-10.634260000		
T	6.366060000	-10.634000000		
T	6.366210000	-10.633870000		
T	6.366280000	-10.633810000		
T	6.366360000	-10.633750000		
T	6.366540000	-10.633590000		
T	6.366730000	-10.633450000		
T	6.367110000	-10.633160000		
T	6.367490000	-10.632890000		
T	6.367890000	-10.632630000		
T	6.368220000	-10.632430000		
T	6.369440000	-10.631700000		
T	6.370270000	-10.631210000		
T	6.371080000	-10.630730000		
T	6.371310000	-10.630580000		
T	6.371510000	-10.630460000		
T	6.372160000	-10.630060000		
T	6.372410000	-10.629900000		
T	6.372910000	-10.629600000		
T	6.372940000	-10.629580000		
T	6.373830000	-10.629050000		
T	6.374010000	-10.628940000		
T	6.374070000	-10.628900000		
T	6.375020000	-10.628330000		
T	6.375080000	-10.628290000		
T	6.375150000	-10.628240000		
T	6.375210000	-10.628200000		
T	6.375270000	-10.628150000		
T	6.375390000	-10.628050000		
T	6.375500000	-10.627940000		
T	6.375570000	-10.627860000		
T	6.375650000	-10.627780000		
T	6.375710000	-10.627700000		
T	6.375780000	-10.627610000		
T	6.375840000	-10.627520000		
T	6.375900000	-10.627430000		
T	6.375950000	-10.627330000		
T	6.376000000	-10.627240000		
T	6.376050000	-10.627140000		
T	6.376100000	-10.627050000		
T	6.376130000	-10.626980000		
T	6.376160000	-10.626880000		
T	6.376190000	-10.626810000		
T	6.376210000	-10.626740000		
T	6.376230000	-10.626670000		
T	6.376250000	-10.626610000		
T	6.376270000	-10.626540000		
T	6.376280000	-10.626480000		
T	6.376290000	-10.626410000		
T	6.376300000	-10.626350000		
T	6.376310000	-10.626280000		
T	6.376320000	-10.626230000		
T	6.376320000	-10.626190000		
T	6.376330000	-10.626120000		
T	6.376330000	-10.626060000		
T	6.376330000	-10.625980000		
T	6.376330000	-10.625900000		
T	6.376320000	-10.625810000		
T	6.376300000	-10.625720000		
T	6.376270000	-10.625520000		
T	6.376240000	-10.625330000		
T	6.376060000	-10.624570000		
T	6.375870000	-10.623800000		
T	6.375580000	-10.622670000		
T	6.375300000	-10.621540000		
T	6.375280000	-10.621450000		
T	6.375170000	-10.621000000		
T	6.375040000	-10.620460000		
T	6.374980000	-10.620220000		
T	6.374930000	-10.619980000		
T	6.374890000	-10.619820000		
T	6.374880000	-10.619740000		
T	6.374870000	-10.619650000		
T	6.374820000	-10.619250000		
T	6.374790000	-10.618850000		
T	6.374780000	-10.618690000		
T	6.374750000	-10.618480000		
T	6.374710000	-10.618160000		
T	6.374650000	-10.617840000		
T	6.374560000	-10.617530000		
T	6.374460000	-10.617230000		
T	6.374200000	-10.616560000		
T	6.374030000	-10.616130000		
T	6.373860000	-10.615710000		
T	6.373650000	-10.615170000		
T	6.373550000	-10.614920000		
T	6.373470000	-10.614670000		
T	6.373330000	-10.614290000		
T	6.373210000	-10.613920000		
T	6.373170000	-10.613790000		
T	6.373150000	-10.613720000		
T	6.373090000	-10.613520000		
T	6.373040000	-10.613300000		
T	6.372990000	-10.613090000		
T	6.372900000	-10.612720000		
T	6.372840000	-10.612460000		
T	6.372790000	-10.612210000		
T	6.372730000	-10.611890000		
T	6.372680000	-10.611600000		
T	6.372670000	-10.611460000		
T	6.372660000	-10.611320000		
T	6.372670000	-10.611170000		
T	6.372680000	-10.611020000		
T	6.372700000	-10.610880000		
T	6.372730000	-10.610740000		
T	6.372750000	-10.610620000		
T	6.372790000	-10.610490000		
T	6.372810000	-10.610420000		
T	6.372830000	-10.610370000		
T	6.372880000	-10.610250000		
T	6.372940000	-10.610130000		
T	6.373000000	-10.610020000		
T	6.373130000	-10.609810000		
T	6.373270000	-10.609620000		
T	6.373560000	-10.609240000		
T	6.374400000	-10.608140000		
T	6.374920000	-10.607470000		
T	6.375460000	-10.606810000		
T	6.376060000	-10.606120000		
T	6.376800000	-10.605270000		
T	6.378120000	-10.603760000		
T	6.380760000	-10.600720000		
T	6.381170000	-10.600250000		
T	6.382390000	-10.598830000		
T	6.382690000	-10.598470000		
T	6.383010000	-10.598130000		
T	6.383390000	-10.597810000		
T	6.383810000	-10.597540000		
T	6.384080000	-10.597360000		
T	6.384380000	-10.597160000		
T	6.384510000	-10.597060000		
T	6.384640000	-10.596940000		
T	6.384770000	-10.596830000		
T	6.384910000	-10.596710000		
T	6.385750000	-10.595790000		
T	6.385920000	-10.595570000		
T	6.386250000	-10.595130000		
T	6.386550000	-10.594700000		
T	6.386780000	-10.594330000		
T	6.387170000	-10.593620000		
T	6.388180000	-10.591710000		
T	6.388560000	-10.590970000		
T	6.388660000	-10.590650000		
T	6.388710000	-10.590340000		
T	6.388770000	-10.589660000		
T	6.388910000	-10.589110000		
T	6.389010000	-10.588860000		
T	6.389160000	-10.588620000		
T	6.389510000	-10.588200000		
T	6.389880000	-10.587780000		
T	6.392260000	-10.585010000		
T	6.393330000	-10.583760000		
T	6.393400000	-10.583680000		
