Entity;Date (end only);Year (end only);Records;Organization type (as number);Organization type;Method (as number);Method;Data sensitivity (as number);Data sensitivity;Source 1;Source 2;Source 3;Source 4;Source 5;Source 6
Quora;2018-12-04;2018;100000000;6;social network;1;hacked;1;email addresses, online information;https://www.nytimes.com/2018/12/04/technology/quora-hack-data-breach.html;;;;;
Blank Media Games;2018-12-28;2018;7633234;8;entertainment;1;hacked;1;email addresses, online information;https://blog.dehashed.com/town-of-salem-blankmediagames-hacked/;https://www.forbes.com/sites/daveywinder/2019/01/03/town-of-salem-hacked-leaving-more-than-7-6m-with-compromised-data/#66a625f730d3;;;;
Facebook;2019-04-04;2019;540000000;6;social network;6;poor security;1;email addresses, online information;https://www.cbsnews.com/news/millions-facebook-user-records-exposed-amazon-cloud-server/;;;;;
Justdial;2019-04-18;2019;100000000;2;goods & services;6;poor security;2;Social Security numbers, personal details;https://economictimes.indiatimes.com/tech/internet/data-breach-at-justdial-leaks-100-million-user-details/articleshow/68930607.cms;;;;;
DoorDash;2019-05-04;2019;4900000;2;goods & services;1;hacked;1;email addresses, online information;https://techcrunch.com/2018/09/25/doordash-customers-say-their-accounts-have-been-hacked/;https://techcrunch.com/2019/09/26/doordash-data-breach/;https://web.archive.org/web/20190930103004/https://blog.doordash.com/important-security-notice-about-your-doordash-account-ddd90ddf5996?gi=8167db467b25;;;
First American Corporation;2019-05-24;2019;885000000;3;finances;6;poor security;2;Social Security numbers, personal details;https://gizmodo.com/885-million-sensitive-records-leaked-online-bank-trans-1835016235;;;;;
Canva;2019-05-28;2019;140000000;2;goods & services;1;hacked;1;email addresses, online information;https://www.cisomag.com/nearly-140-million-user-data-leaked-in-canva-hack/;https://www.hackread.com/online-graphic-design-tool-canva-hacked/;http://www.crn.com.au/news/canva-hacked---user-details-accessed-but-passwords-safe-525716;;;
Quest Diagnostics;2019-06-05;2019;11900000;1;healthcare;6;poor security;4;email passwords, medical records;https://www.publishedreporter.com/2019/06/05/nearly-12-million-quest-diagnostics-patients-medical-info-exposed-in-new-data-breach/;;;;;
2019 Bulgarian revenue agency hack;2019-07-16;2019;5000000;4;government;1;hacked;2;Social Security numbers, personal details;https://www.reuters.com/article/us-bulgaria-cybersecurity/hackers-steal-millions-of-bulgarians-financial services-records-tax-agency-idUSKCN1UB0MA;;;;;
Capital One;2019-07-29;2019;106000000;3;finances;1;hacked;3;credit card information;https://www.cnn.com/2019/07/29/business/capital-one-data-breach/index.html;https://www.capitalone.com/facts2019/;;;;
StockX;2019-08-01;2019;6800000;2;goods & services;1;hacked;1;email addresses, online information;https://techcrunch.com/2019/08/01/stockx-security-concerns-reset-passwords/;https://techcrunch.com/2019/08/03/stockx-hacked-millions-records/?tpcc=ECTW2019;;;;
Mobile TeleSystems (MTS);2019-09-20;2019;100000000;7;media;6;poor security;6;private or classified information;https://www.upguard.com/breaches/mts-nokia-telecom-inventory-data-exposure;;;;;
