Artwork;Artist;Contemporary Art;Artwork date;Movement;Censorship year;Social;Kind of censorship;Source;Publication date;;;;;;;;;;;;;;;;;;;;
Venus of Willendorf;Unknown;No;23.000-19.000 a. C.;Preistoric Art;2018;Facebook;Removed post;http://www.narrabase.net/joy_garnett2018.html;1 nov 2018;;;;;;;;;;;;;;;;;;;;
The Origin of the World;Gustave Courbet;No;1886;Realism;2011;Facebook;Deleted account;http://ackermansfineart.com/censorship-art-social-media/;20 may 2016;;;;;;;;;;;;;;;;;;;;
Ice Cream;Evelyne Axell;Yes;1964;Pop Art;2016;Facebook;Removed post;http://ackermansfineart.com/censorship-art-social-media/;20 may 2016;;;;;;;;;;;;;;;;;;;;
The Origin of the World;Gustave Courbet;No;1886;Realism;2011;Facebook;Deleted account;https://frieze.com/tags/censorship;8 aug 2018;;;;;;;;;;;;;;;;;;;;
100 Muses - Caoimhe Lavelle Photography;Dragana Jurisic;Yes;2015;;2018;Instagram;Suspended account;https://frieze.com/tags/censorship;15 may 2018;;;;;;;;;;;;;;;;;;;;
Women at Their Toilette;Pablo Picasso;No;1956;Cubism;2018;Facebook;Blocked Advertising;https://frieze.com/tags/censorship;8 aug 2018;;;;;;;;;;;;;;;;;;;;
The Descent from the Cross;Peter Paul Rubens;No;1612-14;;2018;Facebook;Blocked Advertising;https://frieze.com/tags/censorship;24 jul 2018;;;;;;;;;;;;;;;;;;;;
Venus of Willendorf;Unknown;No;23.000-19.000 a. C.;Preistoric Art;2018;Facebook;Removed post;https://frieze.com/tags/censorship;8 aug 2018;;;;;;;;;;;;;;;;;;;;
The napalm girl ;Nick Ut;Yes;1972;War photography;2016;Facebook;Removed post;https://alj.artrepreneur.com/facebook-censorship/;15 oct 2018;;;;;;;;;;;;;;;;;;;;
Nudity Related Artwork;Spencer Tunick;Yes;2003;;2014;Facebook;Suspended account;https://whitehotmagazine.com/articles/s-social-media-censorship-blues/4104;nov 2019;;;;;;;;;;;;;;;;;;;;
Several nude paintings;Reuben Negron;Yes;;;2013;Facebook;Removed post;https://www.artistsagainstcensorship.com;Unknown;;;;;;;;;;;;;;;;;;;;
Charlotte ;Shona McAndrew;Yes;2016;;2017;Instagram;Suspended account;https://www.artistsagainstcensorship.com;Unknown;;;;;;;;;;;;;;;;;;;;
Wrestling, Hornby Island, British Columbia;Barbara Hammer;Yes;1972;;Unknown;Instagram;Removed post;https://www.artistsagainstcensorship.com;Unknown;;;;;;;;;;;;;;;;;;;;
Unknown;Clarity Haynes;Yes;;;Unknown;Facebook;Suspended account;https://www.artistsagainstcensorship.com;Unknown;;;;;;;;;;;;;;;;;;;;
Unknown;Clotilde Petrosino;Yes;;;Unknown;Instagram;Suspended account;https://www.artistsagainstcensorship.com;Unknown;;;;;;;;;;;;;;;;;;;;
Nudity Related Artwork;Daniel Maidman;Yes;;;Unknown;Instagram;Removed post;https://www.artistsagainstcensorship.com;Unknown;;;;;;;;;;;;;;;;;;;;
Bore;Jacqueline King ;Yes;2015;;Unknown;Instagram;Deleted account;https://www.artistsagainstcensorship.com;Unknown;;;;;;;;;;;;;;;;;;;;
Unknown;Kit King;Yes;;;Unknown;Instagram;Removed post ;https://www.artistsagainstcensorship.com;Unknown;;;;;;;;;;;;;;;;;;;;
Unknown;Mochi Agogo;Yes;;;Unknown;Instagram;Deleted account;https://www.artistsagainstcensorship.com;Unknown;;;;;;;;;;;;;;;;;;;;
Unknown;Savannah spirit;Yes;;;Unknown;Facebook, Instagram;Suspended account, Removed account;https://www.artistsagainstcensorship.com;Unknown;;;;;;;;;;;;;;;;;;;;
Nudity Related Artwork;Svetlana Sokolovskaya;Yes;;;Unknown;Facebook, Instagram;Removed post, suspended account;https://www.artistsagainstcensorship.com;Unknown;;;;;;;;;;;;;;;;;;;;
Theljilja project ;The Ljilja;Yes;Ongoing;;Unknown;Instagram;Removed post ;https://www.artistsagainstcensorship.com;Unknown;;;;;;;;;;;;;;;;;;;;
Are they really pro-life? Religion, Suicide and Hypocrisy;Abby Zeciroski;Yes;2018;;2016;Facebook;Blocked Advertising;http://www.windycitymediagroup.com/lgbt/ART-Local-lesbian-artist-on-being-banned-from-social-media/66407.html;29 jun 2016;;;;;;;;;;;;;;;;;;;;
The Origin of the World;Gustave Courbet;No;1886;Realism;2011;Facebook;Deleted account;https://glasstire.com/2018/12/15/facebook-and-the-art-of-censorship/;15 dec 2018;;;;;;;;;;;;;;;;;;;;
Hellmouth (the hours of Catherine of Cleves);Catherine of Cleves;no;1440;Medieval painting;2015;Facebook;Suspended account;https://glasstire.com/2018/12/15/facebook-and-the-art-of-censorship/;15 dec 2018;;;;;;;;;;;;;;;;;;;;
Amor Vincit Omnia;Caravaggio;No;1602-1603;Baroque;2016;Facebook;Suspended account;https://glasstire.com/2018/12/15/facebook-and-the-art-of-censorship/;15 dec 2018;;;;;;;;;;;;;;;;;;;;
Neptune fountain;Giambologna;No ;1564-1566;Classicism;2016;Facebook;Removed post;https://glasstire.com/2018/12/15/facebook-and-the-art-of-censorship/;15 dec 2018;;;;;;;;;;;;;;;;;;;;
The Little Mermaid;Edvard Eriksen;No;1913;Classicism;2016;Facebook;Removed post;https://glasstire.com/2018/12/15/facebook-and-the-art-of-censorship/;15 dec 2018;;;;;;;;;;;;;;;;;;;;
The napalm girl ;Nick Ut;Yes;1972;War photography;2016;Facebook;Removed post;https://glasstire.com/2018/12/15/facebook-and-the-art-of-censorship/;15 dec 2018;;;;;;;;;;;;;;;;;;;;
Self-Portrait with Sculpture;John De Andrea;Yes;1980;Hyperrealism;2018;Facebook;Suspended account;https://glasstire.com/2018/12/15/facebook-and-the-art-of-censorship/;15 dec 2018;;;;;;;;;;;;;;;;;;;;
Venus of Willendorf;Unknown;No;23.000-19.000 a. C.;Preistoric Art;2018;Facebook;Removed post;https://glasstire.com/2018/12/15/facebook-and-the-art-of-censorship/;15 dec 2018;;;;;;;;;;;;;;;;;;;;
100 Muses - Caoimhe Lavelle Photography;Dragana Jurisic;Yes;2015;Photography(?);2018;Facebook, Instagram;Removed post, Suspended account;https://freemuse.org/wp-content/uploads/2019/03/saf-2019-online.pdf;20 mar 2019;;;;;;;;;;;;;;;;;;;;
Women at Their Toilette;Pablo Picasso;No;1956;Cubism;2018;Facebook;Blocked Advertising;https://freemuse.org/wp-content/uploads/2019/03/saf-2019-online.pdf;20 mar 2019;;;;;;;;;;;;;;;;;;;;
The Descent from the Cross;Peter Paul Rubens;No;1612-14;;2018;Facebook;Blocked Advertising;https://freemuse.org/wp-content/uploads/2019/03/saf-2019-online.pdf;20 mar 2019;;;;;;;;;;;;;;;;;;;;
Women as Object Project;Kate Durbin;Yes;2011-2013;;2013;Facebook;Removed post;http://romanfineart.com/art-news/facebook-censors-art-historian-posting-nude-art-boots-platform/;28 nov 2018;;;;;;;;;;;;;;;;;;;;
The Little Mermaid;Edvard Eriksen;No;1913;Classicism;2016;Facebook;Removed post;http://romanfineart.com/art-news/facebook-censors-art-historian-posting-nude-art-boots-platform/;28 nov 2018;;;;;;;;;;;;;;;;;;;;
Women at Their Toilette;Pablo Picasso;No;1956;Cubism;2018;Facebook;Blocked Advertising;http://romanfineart.com/art-news/facebook-censors-art-historian-posting-nude-art-boots-platform/;28 nov 2018;;;;;;;;;;;;;;;;;;;;
Self-Portrait with Sculpture;John De Andrea;Yes;1980;Hyperrealism;2018;Facebook;Suspended account;http://romanfineart.com/art-news/facebook-censors-art-historian-posting-nude-art-boots-platform/;28 nov 2018;;;;;;;;;;;;;;;;;;;;
Study of the Right Hand of Erasmus of Rotterdam,;Hans Holbein the Younger;No;1523;Classicism;Unknown;Facebook;Suspended account;https://www.theguardian.com/artanddesign/jonathanjonesblog/2016/aug/31/facebook-banned-holbein-hand-hans-art-erotic;31 aug 2018;;;;;;;;;;;;;;;;;;;;
The Origin of the World;Gustave Courbet;No;1886;Realism;2011;Facebook;Deleted account;https://www.theguardian.com/artanddesign/jonathanjonesblog/2016/aug/31/facebook-banned-holbein-hand-hans-art-erotic;31 aug 2018;;;;;;;;;;;;;;;;;;;;
Unknown;Betty Tompkins;Yes;;;Unknown;Twitter;Deleted account;https://i-d.vice.com/en_us/article/xwnqed/betty-tompkins-refuses-to-shut-up-or-be-censored;12 apr 2019;;;;;;;;;;;;;;;;;;;;
Freeing the Body ;Marina Abramovic;Yes;1976;Performance art;2018;Instagram;Removed post;https://www.forbes.com/sites/joanneshurvell/2018/10/08/censored-by-instagram-new-exhibition-by-worlds-best-known-performance-artist/#45bbd03660cb;8 oct 2018;;;;;;;;;;;;;;;;;;;;
Nudity Related Artwork;Eliseo Solis Mora;Yes;;;Unknown;Facebook ;Removed post;https://advox.globalvoices.org/2015/04/16/what-does-censoring-nude-art-say-about-us-and-our-social-networks/;16 apr 2015;;;;;;;;;;;;;;;;;;;;
Nudity Related Artwork;Erika Ordosgoitti;Yes;;;Unknown;Facebook;Removed post;https://advox.globalvoices.org/2015/04/16/what-does-censoring-nude-art-say-about-us-and-our-social-networks/;16 apr 2015;;;;;;;;;;;;;;;;;;;;
The Origin of the World;Gustave Courbet;No;1886;Realism;2011;Facebook;Deleted account;https://advox.globalvoices.org/2015/04/16/what-does-censoring-nude-art-say-about-us-and-our-social-networks/;16 apr 2015;;;;;;;;;;;;;;;;;;;;
The Descent from the Cross;Peter Paul Rubens;No;1612-14;;2018;Facebook;Blocked Advertising;https://apnews.com/82a80b928d2545b2b7aeffb18ac9289b/gallery/media:d5db3ae061064c728a7fc30deba9dbe0;28 jul 2018;;;;;;;;;;;;;;;;;;;;
Make America Great Again;Ilma Gore;Yes;2016;Drawing (?);Unknown;Facebook;Suspended account;https://www.latimes.com/entertainment/arts/miranda/la-et-cam-is-social-media-good-for-art-20160517-snap-htmlstory.html;23 jun 2016;;;;;;;;;;;;;;;;;;;;
Hellmouth (the hours of Catherine of Cleves);Catherine of Cleves;no;1440;Medieval painting;2015;Facebook;Suspended account;https://www.latimes.com/entertainment/arts/miranda/la-et-cam-is-social-media-good-for-art-20160517-snap-htmlstory.html;23 jun 2016;;;;;;;;;;;;;;;;;;;;
Ice Cream;Evelyne Axell;Yes;1964;Pop Art;2016;Facebook;Removed post;https://www.latimes.com/entertainment/arts/miranda/la-et-cam-is-social-media-good-for-art-20160517-snap-htmlstory.html;23 jun 2016;;;;;;;;;;;;;;;;;;;;
Northview;Lisa Yuskavage;Yes;2000;Drawing (?);2016;Instagram;Suspended account;https://www.latimes.com/entertainment/arts/miranda/la-et-cam-is-social-media-good-for-art-20160517-snap-htmlstory.html;23 jun 2016;;;;;;;;;;;;;;;;;;;;
The Little Mermaid;Edvard Eriksen;No;1913;Classicism;2016;Facebook;Removed post;https://www.latimes.com/entertainment/arts/miranda/la-et-cam-is-social-media-good-for-art-20160517-snap-htmlstory.html;23 jun 2016;;;;;;;;;;;;;;;;;;;;
Nudity Related Artwork;Anders Zorn;No;;Impressionism;Unknown;Facebook;Removed post;https://publichouseofart.com/blog/art-censored-by-social-media;4 dec 2016;;;;;;;;;;;;;;;;;;;;
Hellmouth (the hours of Catherine of Cleves);Catherine of Cleves;No;1440;Medieval painting;2015;Facebook;Suspended account;https://publichouseofart.com/blog/art-censored-by-social-media;4 dec 2016;;;;;;;;;;;;;;;;;;;;
Ice Cream;Evelyne Axell;Yes;1964;Pop Art;2016;Facebook;Removed post;https://publichouseofart.com/blog/art-censored-by-social-media;4 dec 2016;;;;;;;;;;;;;;;;;;;;
The Little Mermaid;Edvard Eriksen;No;1913;Classicism;2016;Facebook;Removed post;https://publichouseofart.com/blog/art-censored-by-social-media;4 dec 2016;;;;;;;;;;;;;;;;;;;;
Nudity Related Artwork;Anders Zorn;No;;Impressionism;Unknown;Facebook;Removed post;https://bigthink.com/Picture-This/is-facebook-too-conservative-for-contemporary-art;17 sep 2011;;;;;;;;;;;;;;;;;;;;
The Origin of the World;Gustave Courbet;No;1886;Realism;2011;Facebook;Deleted account;https://bigthink.com/Picture-This/is-facebook-too-conservative-for-contemporary-art;17 sep 2011;;;;;;;;;;;;;;;;;;;;
The Origin of the World;Gustave Courbet;No;1886;Realism;2011;Facebook;Deleted account;https://www.widewalls.ch/art-censorship-facebook-philadelphia-museum-of-art/;11 feb 2016;;;;;;;;;;;;;;;;;;;;
Nude (227N);Edward Weston;No;1936;Photography portrait;2015;Facebook;Suspended account;https://www.widewalls.ch/art-censorship-facebook-philadelphia-museum-of-art/;11 feb 2016;;;;;;;;;;;;;;;;;;;;
Ice Cream;Evelyne Axell;Yes;1964;Pop Art;2016;Facebook;Removed post;https://www.widewalls.ch/art-censorship-facebook-philadelphia-museum-of-art/;11 feb 2016;;;;;;;;;;;;;;;;;;;;
The Origin of the World;Gustave Courbet;No;1886;Realism;2011;Facebook;Deleted account;https://www.designboom.com/art/facebook-on-trial-censorship-courbet-02-06-2018/;6 feb 2018;;;;;;;;;;;;;;;;;;;;
The Origin of the World;Gustave Courbet;No;1886;Realism;2011;Facebook;Deleted account;https://www.france24.com/en/20180201-france-facebook-art-censorship-culture-origin-world-trial-over-courbet-vagina-painting;2 jan 2018;;;;;;;;;;;;;;;;;;;;
Make America Great Again;Ilma Gore;Yes;2016;;Unknown;Facebook;Suspended account;https://www.bostonglobe.com/arts/art/2017/04/25/mfa-among-museums-hit-instagram-censorship/tbPEbiVJOle06PzS71giuL/story.html;2 mag 2017;;;;;;;;;;;;;;;;;;;;
Hellmouth (the hours of Catherine of Cleves);Catherine of Cleves;No;1440;Medieval painting;2015;Facebook;Suspended account;https://www.bostonglobe.com/arts/art/2017/04/25/mfa-among-museums-hit-instagram-censorship/tbPEbiVJOle06PzS71giuL/story.html;3 mag 2017;;;;;;;;;;;;;;;;;;;;
Reclined Nude;Amedeo Modigliani;No;1917;;2015;Facebook;Removed post;https://www.bostonglobe.com/arts/art/2017/04/25/mfa-among-museums-hit-instagram-censorship/tbPEbiVJOle06PzS71giuL/story.html;29 apr 2017;;;;;;;;;;;;;;;;;;;;
Ice Cream;Evelyne Axell;Yes;1964;Pop Art;2016;Facebook;Removed post;https://www.bostonglobe.com/arts/art/2017/04/25/mfa-among-museums-hit-instagram-censorship/tbPEbiVJOle06PzS71giuL/story.html;1 mag 2017;;;;;;;;;;;;;;;;;;;;
Imogen and Twinka;Judy Dater;Yes;2015;;2017;Instagram;Removed post;https://www.bostonglobe.com/arts/art/2017/04/25/mfa-among-museums-hit-instagram-censorship/tbPEbiVJOle06PzS71giuL/story.html;28 apr 2017;;;;;;;;;;;;;;;;;;;;
Sunbath (Alta on the Beach);Imogen Cunningham;No;1925;;2017;Instagram;Removed post;https://www.bostonglobe.com/arts/art/2017/04/25/mfa-among-museums-hit-instagram-censorship/tbPEbiVJOle06PzS71giuL/story.html;27 apr 2017;;;;;;;;;;;;;;;;;;;;
Triangles;Imogen Cunningham;No;1928;;2017;Instagram;Removed post;https://www.bostonglobe.com/arts/art/2017/04/25/mfa-among-museums-hit-instagram-censorship/tbPEbiVJOle06PzS71giuL/story.html;26 apr 2017;;;;;;;;;;;;;;;;;;;;
Women Lovers ;Charles Blackman;Yes;1980;;2017;Facebook;Blocked Advertising;https://www.bostonglobe.com/arts/art/2017/04/25/mfa-among-museums-hit-instagram-censorship/tbPEbiVJOle06PzS71giuL/story.html;30 apr 2017;;;;;;;;;;;;;;;;;;;;
Unknown;Alexandra Marzella;Yes;;;Unknown;Instagram;Suspended account;https://www.thefader.com/2014/12/23/6-creatives-on-the-consequences-of-social-media-censorship;23 dec 2014;;;;;;;;;;;;;;;;;;;;
Unknown;Rachel Libeskind;Yes;;;2014;Instagram;Removed post, suspended account;https://www.thefader.com/2014/12/23/6-creatives-on-the-consequences-of-social-media-censorship;23 dec 2014;;;;;;;;;;;;;;;;;;;;
Unknown;Petra Collins;Yes;;;Unknown;Instagram;Deleted account;https://www.thefader.com/2014/12/23/6-creatives-on-the-consequences-of-social-media-censorship;23 dec 2014;;;;;;;;;;;;;;;;;;;;
Nudity Related Artwork;Joanne Leah;Yes;;;2015;Instagram;Deleted account;https://observer.com/2018/09/joanne-leahs-twofacedkitten-instagram-nudity-rule/;19 sep 2018;;;;;;;;;;;;;;;;;;;;
Scorched Wings;Kamille Corry;Yes;2013;;Unknown;Facebook, Twitter;Suspended account;https://www.linkedin.com/pulse/how-social-media-censorship-editing-our-world-view-what-uri%C3%A9l-dana;17 may 2018;;;;;;;;;;;;;;;;;;;;
Autocorpo;Marco Grassi;Yes;2013;;Unknown;Facebook;Suspended account;https://www.linkedin.com/pulse/how-social-media-censorship-editing-our-world-view-what-uri%C3%A9l-dana;17 may 2018;;;;;;;;;;;;;;;;;;;;
The Origin of the World;Gustave Courbet;No;1886;Realism;2011;Facebook;Deleted account;https://www.linkedin.com/pulse/how-social-media-censorship-editing-our-world-view-what-uri%C3%A9l-dana;17 may 2018;;;;;;;;;;;;;;;;;;;;
The napalm girl ;Nick Ut;Yes;1972;War photography;2016;Facebook;Removed post;https://www.linkedin.com/pulse/how-social-media-censorship-editing-our-world-view-what-uri%C3%A9l-dana;17 may 2018;;;;;;;;;;;;;;;;;;;;
Glitterotica;Shelby Sells;Yes;2016;;2016;Instagram;Deleted account;https://www.metrotimes.com/detroit/why-artist-shelby-sells-cant-stop-getting-censored/Content?oid=2392616;27 jan 2016;;;;;;;;;;;;;;;;;;;;
The Origin of the World;Gustave Courbet;No;1886;Realism;2011;Facebook;Deleted account;https://news.artnet.com/market/gray-market-facebook-art-censorship-1235822;5 mar 2018;;;;;;;;;;;;;;;;;;;;
Ema (nude on a staircase);Gerhard Richter;Yes;1966;Realism (?);2012;Facebook;Removed post;https://news.artnet.com/market/gray-market-facebook-art-censorship-1235822;5 mar 2018;;;;;;;;;;;;;;;;;;;;
Ice Cream;Evelyne Axell;Yes;1964;Pop Art;2016;Facebook;Removed post;https://news.artnet.com/market/gray-market-facebook-art-censorship-1235822;5 mar 2018;;;;;;;;;;;;;;;;;;;;
The Little Mermaid;Edvard Eriksen;No;1913;Classicism;2016;Facebook;Removed post;https://news.artnet.com/market/gray-market-facebook-art-censorship-1235822;5 mar 2018;;;;;;;;;;;;;;;;;;;;
The napalm girl ;Nick Ut;Yes;1972;War photography;2016;Facebook;Removed post;https://news.artnet.com/market/gray-market-facebook-art-censorship-1235822;5 mar 2018;;;;;;;;;;;;;;;;;;;;
Venus of Willendorf;Unknown;No;23.000-19.000 a. C.;Preistoric Art;2018;Facebook;Removed post;https://news.artnet.com/market/gray-market-facebook-art-censorship-1235822;5 mar 2018;;;;;;;;;;;;;;;;;;;;
A Model (Against a Blue Background);Natalia Goncharova;No;1910;Espressionism;2019;Instagram;Blocked Advertising;https://www.art-critique.com/en/2019/09/palazzo-strozzi-recently-censored-by-instagram/;17 sep 2019;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
