Artwork,Artist,Contemporary Art,Artwork date,Censorship year,Social,Kind of censorship,Link,Date of publication,Typology,Google Rank,,,,,,,,,,,,,,,,,,,,,,
Unknown,Betty Tompkins,Yes,Unknown,Unknown,Twitter,Deleted account,https://i-d.vice.com/en_us/article/xwnqed/betty-tompkins-refuses-to-shut-up-or-be-censored,12 Apr 2019,Fashion and contemporary culture magazine,65,,,,,,,,,,,,,,,,,,,,,,
Freeing the Body ,Marina Abramovic,Yes,1976,2018,Instagram,Removed post,https://www.forbes.com/sites/joanneshurvell/2018/10/08/censored-by-instagram-new-exhibition-by-worlds-best-known-performance-artist/#45bbd03660cb,8 oct 2018,Newspaper,68,,,,,,,,,,,,,,,,,,,,,,
Nudity Related Artwork,Eliseo Solis Mora,Yes,Unknown,Unknown,Facebook ,Removed post,https://advox.globalvoices.org/2015/04/16/what-does-censoring-nude-art-say-about-us-and-our-social-networks/,16 Apr 2015,Online activists,70,,,,,,,,,,,,,,,,,,,,,,
Nudity Related Artwork,Erika Ordosgoitti,Yes,Unknown,Unknown,Facebook,Removed post,https://advox.globalvoices.org/2015/04/16/what-does-censoring-nude-art-say-about-us-and-our-social-networks/,16 Apr 2015,Online activists,70,,,,,,,,,,,,,,,,,,,,,,
The Origin of the World,Gustave Courbet,No,1886,2011,Facebook,Deleted account,https://advox.globalvoices.org/2015/04/16/what-does-censoring-nude-art-say-about-us-and-our-social-networks/,16 Apr 2015,Online activists,70,,,,,,,,,,,,,,,,,,,,,,
The Descent from the Cross,Peter Paul Rubens,No,1612-14,2018,Facebook,Blocked Advertising,https://apnews.com/82a80b928d2545b2b7aeffb18ac9289b/gallery/media:d5db3ae061064c728a7fc30deba9dbe0,28 jul 2018,Non-profit news cooperative,76,,,,,,,,,,,,,,,,,,,,,,
Make America Great Again,Ilma Gore,Yes,2016,Unknown,Facebook,Suspended account,https://www.latimes.com/entertainment/arts/miranda/la-et-cam-is-social-media-good-for-art-20160517-snap-htmlstory.html,23 jun 2016,Newspaper,77,,,,,,,,,,,,,,,,,,,,,,
Hellmouth (the hours of Catherine of Cleves),Catherine of Cleves,no,1440,2015,Facebook,Suspended account,https://www.latimes.com/entertainment/arts/miranda/la-et-cam-is-social-media-good-for-art-20160517-snap-htmlstory.html,23 jun 2016,Newspaper,77,,,,,,,,,,,,,,,,,,,,,,
Ice Cream,Evelyne Axell,Yes,1964,2016,Facebook,Removed post,https://www.latimes.com/entertainment/arts/miranda/la-et-cam-is-social-media-good-for-art-20160517-snap-htmlstory.html,23 jun 2016,Newspaper,77,,,,,,,,,,,,,,,,,,,,,,
Northview,Lisa Yuskavage,Yes,2000,2016,Instagram,Suspended account,https://www.latimes.com/entertainment/arts/miranda/la-et-cam-is-social-media-good-for-art-20160517-snap-htmlstory.html,23 jun 2016,Newspaper,77,,,,,,,,,,,,,,,,,,,,,,
