Result number,Number of mentions,Name,Work,What,Type of image,Part ,Kind of censorship,Reason,Reason (macrogroup),Platform,Year,Link,Notes,,,,,,,,,
20,,,,,,,,,,,,https://qz.com/1594392/instagram-will-demote-inappropriate-content-and-self-expression-along-the-way/,Not used (no images),,,,,,,,,
21,,,,,,,,,,,,https://books.google.it/books?id=Ng2tAgAAQBAJ&pg=PA417&lpg=PA417&dq=censored+female+body&source=bl&ots=xDs9_kmOY4&sig=ACfU3U3voMuhIpg2qTJ1uVJLL15xAYCtYg&hl=it&sa=X&ved=2ahUKEwiawKa49NflAhWDGewKHUBQD-k4ChDoATAJegQICBAB#v=onepage&q=censored%20female%20body&f=false,Not used (not online censorship),,,,,,,,,
22,,,,,,,,,,,,https://www.vox.com/recode/2019/10/27/20932915/instagram-free-the-nipple-photo-facebook-nudity-ban-art-reset-podcast,Not used (no image mentioned),,,,,,,,,
23,,,,,,,,,,,,https://stock.adobe.com/ee/images/beautiful-woman-s-female-body-with-blur-censored-sign-and-place-for-text/172676151,Not used (adobe stock),,,,,,,,,
24,,,,,,,,,,,,https://www.wbur.org/artery/2019/08/02/ally-schmaling-instagram-censorship-nipples,Not used (no images),,,,,,,,,
25,,,,,,,,,,,,https://books.google.it/books?id=VK6fgbZcQ6sC&pg=PA8&lpg=PA8&dq=censored+female+body&source=bl&ots=R9t1kIjiVg&sig=ACfU3U27SysTaW7wfGn5ikJOQ-T5SzREwA&hl=it&sa=X&ved=2ahUKEwiDvInt_tflAhUNr6QKHUg4CLc4FBDoATAAegQIBxAB#v=onepage&q=censored%20female%20body&f=false,Not used (not online censorship),,,,,,,,,
26,9,Rupi Kaur,Poet,Body,Clothed (sweats and T-shirt),All body,Removed image (twice),Menstruation,MENSTRUATION,Instagram,03/2015,https://graziadaily.co.uk/life/health-fitness/cellulite-selfie-removed-instagram-fitness-blogger/,,,,,,,,,,
26,1,Mallory Kings,Fitness blogger,Body,Semi-clothed ,Partial body (from head to knees),Removed image,Cellulite,BODY TYPE,Instagram,2017,https://graziadaily.co.uk/life/health-fitness/cellulite-selfie-removed-instagram-fitness-blogger/,,,,,,,,,,
27,,,,,,,,,,,,https://en.wikipedia.org/wiki/Censorship_in_Australia#The_Internet_and_pornography,Not used (no image mentioned),,,,,,,,,
28,,,,,,,,,,,,https://books.google.it/books?id=5I9qDwAAQBAJ&pg=PA127&lpg=PA127&dq=censored+female+body&source=bl&ots=Jb6gJsxfQn&sig=ACfU3U1QQYn4nQKlObzEO5nP9Y755t6y1A&hl=it&sa=X&ved=2ahUKEwi5vPGK6drlAhUCCewKHZyJDuI4FBDoATAIegQIBxAB#v=onepage&q=censored%20female%20body&f=false,Not used (not online censorship),,,,,,,,,
