Post;Views post;Users;Comment;Likes;Value
5;129600; @davecamerini;Contando che thanos ha distrutto l’universo il paragone è calzante;19;0
5;129600; @palinkato;parassita.;30;0
5;129600; @martinasorcimail;Sei veramente un buffone...;25;0
5;129600; @aomachecazzovoi;ma capitano de che? del circo? che clown madonna ma famoje rmalocchio;153;0
5;129600; @lavinia_biancalani;MA COSA STIAMO GUARDANDOOOO ma scherziamo? 🤦🏻‍♀🤦🏻‍♀🤦🏻‍♀🤦🏻‍♀🤦🏻‍♀🤦🏻‍♀;27;0
5;129600; @fabrizioscanu;Weeeee matty noto buffone finalmente anche io ti posso rinsultare....qui i tuoi amici nn mi bloccano;19;0
5;129600; @giorgianasvampy;Che poro scemo;14;0
5;129600; @user65563193;l'erba cattiva non muore mai  ancora qui sei ?;20;0
5;129600; @luciocroce;Tu sei.... un pirla!! 😂😂😂;9;0
5;129600; @zia_anna_73;quand'è che ti togli dalle balle?;8;0
5;129600; @lilia_fois;E da qui capisci il quoziente intellettivo;7;0
5;129600; @violaagosti5;SALVINI FUORI DALLA POLITICA;7;0
5;129600; @zzraszz;"Nooo che montaggio pazzesco  Matte l'hai imparato alla scuola da influencer questa figata? Wow e io che pensavo facessi ""politica""";11;0
5;129600; @giovannipallaccio;Benvenuto capitANO! Grazie per darmi la possibilità di insultarti su un social dove ancora non mi hai bloccato...;5;0
5;129600; @_zampolli;hai sbagliato posto questo non è il circo🤡🤡🤡🤡;20;0
5;129600; @beatrice.melonii;cosa fa salvini invece che lavorare;10;0
5;129600; @robdalessandro93;ora possiamo chiudere l'internet  ho visto tutto.;14;0
5;129600; @robyorr92;io sono senza parole....;15;0
5;129600; @fiorica80;sei il re del cringe bro;11;0
5;129600; @marcomontanaro13;ok boomer;12;0
5;129600; @stella_alpina;non badarli Matteo...sei forte;10;1
5;129600; @rina_adeelah;Ah beh adesso mi faccio bannare anche qui da te! Tiktok ti mancava.;8;0
5;129600; @gallettaalriso;che tajo madonna ma fai anche il politico oltre al comico?;7;0
5;129600; @gu77777;Venezia è lo specchio della lega  6mld per un opera fatta male  6mld per un opera fatta male  perché non funziona😂 e volete un altro mld? 🤮;20;0
5;129600; @_honey_beuty;Ma ci è o ci fa?;6;0
5;129600; @dontakemeseriouss;è un meme dentro un meme;9;0
5;129600; @iamshot;Quattronove;7;0
5;129600; @djgiannino33;non eruttare troppo però... mr pieni poteri!🤣;40;0
6;1000000; @jooniexdimples;Siccome fare il politico non gli riusciva ha iniziato a fare i tiktok;4973;0
6;1000000; @ertraffikspingeichili;nessuno;2720;0
6;1000000; @lacocca78;Pure qui 😭😭😭😭😭😭😭😭😭 ovunque ma non in Parlamento!!!!!!! Si stava così bene.;2435;0
6;1000000; @ami_hime;Ecco cosa fanno i politici in Italia;2061;0
6;1000000; @ghetzo123546;tutti quelli pro a salvini 🤡🤡🤡🤡;1385;0
6;1000000; @chiamatemikim;Signor Salvini spero le appaiano i miei video lgbt nei per te❤❤❤❤❤;681;0
6;1000000; @borionistef;Bell’atteggiamento mentre Venezia affonda dopo 20 anni di amministrazione leghista e 7 miliardi di € buttati per il Mose che non funziona. Che pena.;1561;0
6;1000000; @_fannie_00;io non lo sto bloccando solo per leggere i commenti e ricordarmi che ogni tanto in Italia qualcuno ragiona.;589;0
6;1000000; @julianstoneangel;eclissati ti prego  sei ovunque era meno doloroso avere un cancro alla prostata;856;0
6;1000000; @netflixmylove;pardon salvini qui siamo sostenitori LGBT e non razzisti.;1031;0
6;1000000; @fbort;Tutto pur di non lavorare eh?;634;0
6;1000000; @fabriciobicio;Pure su TikTok..... come si bloccano gli utenti ? Così non lo vedo. Qualcuno sa dirmelo?;655;0
6;1000000; @aomachecazzovoi;mettiamo il suo nome sul fantamorto?;491;0
6;1000000; @cristinadanieli;Cioè te prego pure qua stai? Ma quando lavori?;534;0
6;1000000; @stxcaxxx;tik tok è un social che usano i ragazzi per divertirsi e trovare te nei per te e tutto tranne che divertente;692;0
6;1000000; @elleyinwonderland23;#salvinifuoridiqui;843;0
6;1000000; @cassie.surveycorps;ma anche qua? ma basta hai trovato il social con più sostenitori LGBT e meno razzisti caro mio;811;0
6;1000000; @willshoodie;Ma fai il serio per favore!;443;0
6;1000000; @user597435875;RAGA MA LO DEVO RITROVARE ANCHE NEI PER TE;357;0
6;1000000; @tigrepandacorno5;Segnaliamo per incitamento all'odio;273;0
6;1000000; @dolceroxy76;Qui si dimostra un'altra volta quello che é 🤡🤡🤡🤡🤡🤡🤡;222;0
6;1000000; @topher243;Day 3 finché Salvini non me risponde 😭 mi sento discriminato così 😂;256;0
6;1000000; @gianpierodonato;Che idiota... Pensa di far breccia tra i giovanissimi...;232;0
6;1000000; @aomachecazzovoi;NO CLOWN NELLA MIA CHAT NEOPAGANA;294;0
6;1000000; @aomachecazzovoi;sempre in tv mai in aula🥺🤡;334;0
6;1000000; @alice.ventura;eh rega dai su ora prova con TikTok;142;0
6;1000000; @re.wild_;Yo fra qui ci sono gente LGBT pro migranti e anti sessismo quindi è meglio se ti togli dalle 🅱🅰lle.;115;0
6;1000000; @antonioerdas;Povera Italia... Siamo davvero caduti così in basso🙄;149;0
6;1000000; @andreaceccarelli81;Credo che tu abbia confuso lo zucchero con la candeggina in polvere;139;0
6;1000000; @nicodellavolpe;Vai a lavorare....;172;0
6;1000000; @senoritamilica11;NO ODIO NO RAZZISMO NO POLITICA!!! Amore #loveislove ☺❤Amore per tutti❤In ogni forma👫👭👬❤;109;0
6;1000000; @user6988491;È sto burattino pure qua sta [sulk];139;0
6;1000000; @lewixy;Ma si sta autoperculando? HAHAHAH;103;0
6;1000000; @samnoodle;la politica non dovrebbe influire sui social . tik tok italia;234;0
6;1000000; @desideria.cucchiara;SE LEVIIIIIIIIIIIII;175;0
6;1000000; @dinosalamone;povera italia;110;0
6;1000000; @erpoltronaro;Forse bisognerebbe segnalare il profilo tutti insieme;60;0
6;1000000; @sparkypowerxd;la politica degrada in un modo pazzesco;105;0
