# value;Name;Date;PriceUSD;Supply Currency;Mrkt Cap
363;Dogecoin;01/07/17;0,0;109.987.305.652;251.378.887
364;Dogecoin;01/08/17;0,0;110.415.715.652;197.992.881
365;Dogecoin;01/09/17;0,0;110.844.065.652;278.081.642
366;Dogecoin;01/10/17;0,0;111.259.365.652;119.330.074
367;Dogecoin;01/11/17;0,0;111.689.805.652;123.210.348
368;Dogecoin;01/12/17;0,0;112.104.345.652;237.049.254
369;Dogecoin;01/01/18;0,0;112.532.135.652;990.702.573
370;Dogecoin;01/02/18;0,0;112.962.885.652;558.639.073
371;Dogecoin;01/03/18;0,0;113.350.965.652;702.470.857
372;Dogecoin;01/04/18;0,0;113.779.255.652;305.965.755
373;Dogecoin;01/05/18;0,0;114.193.345.652;583.753.546
374;Dogecoin;01/06/18;0,0;114.621.655.652;391.765.154
375;Dogecoin;01/07/18;0,0;115.035.935.652;288.357.979
376;Dogecoin;01/08/18;0,0;115.463.935.652;353.627.553
377;Dogecoin;01/09/18;0,0;115.892.675.652;717.318.500
378;Dogecoin;01/10/18;0,0;116.307.415.652;688.824.812
379;Dogecoin;01/11/18;0,0;116.735.245.652;440.124.383
380;Dogecoin;01/12/18;0,0;117.150.275.652;259.667.884
381;Dogecoin;01/01/19;0,0;117.578.225.652;278.377.692
382;Bitcoin Gold;01/11/17;154,0;16.644.461;2.563.405.516
383;Bitcoin Gold;01/12/17;299,7;16.403.495;4.916.930.775
384;Bitcoin Gold;01/01/18;237,4;16.460.595;3.907.359.057
385;Bitcoin Gold;01/02/18;128,6;16.519.720;2.123.966.263
386;Bitcoin Gold;01/03/18;112,6;16.575.270;1.866.441.902
387;Bitcoin Gold;01/04/18;40,7;16.637.420;676.905.704
388;Bitcoin Gold;01/05/18;71,1;16.698.508;1.186.722.660
389;Bitcoin Gold;01/06/18;43,8;16.761.508;733.716.847
390;Bitcoin Gold;01/07/18;26,6;16.819.195;447.460.769
